Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Filip Forsberg,vs WPG,NHL,Shots on Goal,4,3.48,-12.96%
Ty Chandler,vs CHI,NFL1H,Rush Yards,17.5,15.26,-12.83%
Courtland Sutton,vs CLE,NFL2H,Receiving Yards,19.5,22.00,12.82%
Onyeka Okongwu,@ BOS,NBA,Rebs+Asts,8,9.02,12.81%
Mitchell Robinson,vs PHX,NBA,Pts+Rebs+Asts,16.5,18.61,12.80%
Zach Hyman,vs ANH,NHL,Shots on Goal,3.5,3.05,-12.78%
Mikal Bridges,vs CHI,NBA1H,Pts+Rebs+Asts,16.5,14.39,-12.78%
Donovan Mitchell,vs TOR,NBA,Assists,5,4.36,-12.73%
Dylan DeMelo,@ NSH,NHL,Blocked Shots,1.5,1.31,-12.68%
Anthony Edwards,@ MEM,NBA1H,Pts+Rebs+Asts,18.5,16.16,-12.66%
Zach LaVine,@ BKN,NBA,Rebs+Asts,8,9.01,12.65%
Karl-Anthony Towns,@ MEM,NBA,Pts+Rebs+Asts,38.5,33.63,-12.64%
D'Andre Swift,vs BUF,NFL2H,Receiving Yards,9.5,8.30,-12.62%
Desmond Bane,vs MIN,NBA,Pts+Rebs,28,31.53,12.61%
Keenan Allen,vs BAL,NFL,Receiving Yards,88.5,77.34,-12.61%
OG Anunoby,@ CLE,NBA,Pts+Rebs+Asts,20,22.52,12.60%
Zach Collins,@ DEN,NBA1H,Pts+Rebs+Asts,11.5,12.95,12.59%
Danielle Hunter,vs CHI,NFL,Sacks,0.75,0.66,-12.59%
Goga Bitadze,vs CHA,NBA,Rebs+Asts,9.5,10.70,12.58%
Leon Draisaitl,vs ANH,NHL,Faceoffs Won,11,9.62,-12.56%
Immanuel Quickley,vs PHX,NBA1H,Points,7.5,6.56,-12.52%
Stuart Skinner,vs ANH,NHL,Goalie Saves,24.5,21.44,-12.49%
Evander Kane,vs ANH,NHL,Shots on Goal,3.5,3.06,-12.46%
DeVonta Smith,vs BUF,NFL2H,Fantasy Score,6,6.74,12.41%
Zay Flowers,@ LAC,NFL,Receiving Yards,63.5,55.62,-12.41%
Spencer Dinwiddie,vs CHI,NBA,Pts+Asts,23.5,26.40,12.35%
Saddiq Bey,@ BOS,NBA1H,Points,6.5,7.30,12.35%
Paolo Banchero,vs CHA,NBA,Rebounds,7,7.86,12.34%
Josh Jacobs,vs KC,NFL2H,Rush Yards,36.5,32.00,-12.33%
Julius Randle,vs PHX,NBA1Q,Points,6.5,5.70,-12.32%
Devin Booker,@ NYK,NBA,Assists,6.5,5.70,-12.29%
Mikal Bridges,vs CHI,NBA1H,Points,11.5,10.09,-12.29%
Zach Collins,@ DEN,NBA1H,Fantasy Score,14,15.71,12.25%
Paolo Banchero,vs CHA,NBA,Pts+Asts,26.5,23.26,-12.22%
A.J. Brown,vs BUF,NFL2H,Fantasy Score,8,8.98,12.21%
Desmond Bane,vs MIN,NBA1H,Fantasy Score,19,21.32,12.19%
Jarrett Allen,vs TOR,NBA,Rebs+Asts,11.5,12.89,12.10%
Justin Tucker,@ LAC,NFL,Kicking Points,7.5,8.40,12.04%
Jalen Brunson,vs PHX,NBA,Rebs+Asts,8.5,9.52,12.03%
DeVonta Smith,vs BUF,NFL2H,Receiving Yards,28.5,31.93,12.03%
Cameron Johnson,vs CHI,NBA,Fantasy Score,30,33.60,12.02%
Cameron Johnson,vs CHI,NBA1H,Fantasy Score,15,16.80,12.02%
Anthony Edwards,@ MEM,NBA,Pts+Asts,30.5,26.84,-12.01%
Ryan Nugent-Hopkins,vs ANH,NHL,Shots on Goal,2.5,2.20,-12.01%
Carlos Vela,@ SOU,SOCCER,Shots,2,2.24,12.00%
Paolo Banchero,vs CHA,NBA,Points,22.5,19.81,-11.97%
Jakob Poeltl,@ CLE,NBA,Points,10.5,11.75,11.95%
Anthony Edwards,@ MEM,NBA,Points,26,22.92,-11.85%
Michael Porter Jr.,vs SAS,NBA,Rebs+Asts,9.5,8.38,-11.84%
Austin Ekeler,vs BAL,NFL,Fantasy Score,16,17.89,11.82%
Nikola Vucevic,@ BKN,NBA,Rebounds,10.5,11.74,11.81%
Nikola Jokic,vs SAS,NBA,Pts+Rebs,45.5,40.13,-11.80%
Pascal Siakam,@ CLE,NBA1Q,Points,5.5,4.85,-11.79%
Lamar Jackson,@ LAC,NFL,Rush Attempts,8.5,9.50,11.76%
James Cook,@ PHI,NFL2H,Receiving Yards,8.5,9.50,11.76%
Leon Draisaitl,vs ANH,NHL,Goals,0.5,0.56,11.75%
Victor Wembanyama,@ DEN,NBA,Rebs+Asts,11.5,12.84,11.68%
Jusuf Nurkic,@ NYK,NBA,Points,10.5,11.71,11.56%
Spencer Dinwiddie,vs CHI,NBA,Pts+Rebs+Asts,27.5,30.68,11.55%
OG Anunoby,@ CLE,NBA1Q,Points,3.5,3.90,11.50%
Anthony Edwards,@ MEM,NBA,Pts+Rebs+Asts,36.5,32.32,-11.46%
Donovan Mitchell,vs TOR,NBA1Q,Points,5.5,6.13,11.46%
Keldon Johnson,@ DEN,NBA,Assists,3.5,3.10,-11.45%
Khalil Shakir,@ PHI,NFL2H,Receiving Yards,17.5,19.50,11.43%
Clint Capela,@ BOS,NBA,Rebounds,10.5,11.70,11.41%
Zach Collins,@ DEN,NBA,Points,12,13.36,11.35%
Matthew Stafford,@ ARI,NFL2H,Pass Yards,104.5,116.36,11.34%
LaMelo Ball,@ ORL,NBA,Pts+Rebs+Asts,39,34.59,-11.30%
Jakob Poeltl,@ CLE,NBA,Pts+Rebs,19.5,21.70,11.27%
Jalen Guyton,vs BAL,NFL,Receptions,2.5,2.78,11.26%
Ty Chandler,vs CHI,NFL,Rush Attempts,8,7.10,-11.25%
Julius Randle,vs PHX,NBA,Points,20.5,22.80,11.21%
Roman Josi,vs WPG,NHL,Blocked Shots,1.5,1.67,11.16%
Kyler Murray,vs LAR,NFL2H,Pass Yards,133.5,118.66,-11.12%
Keenan Allen,vs BAL,NFL1H,Receiving Yards,43.5,38.67,-11.10%
Keenan Allen,vs BAL,NFL,Targets,11,9.80,-10.91%
Onyeka Okongwu,@ BOS,NBA,Pts+Rebs,15.5,17.19,10.89%
Stefon Diggs,@ PHI,NFL2H,Fantasy Score,8,8.87,10.87%
Lamar Jackson,@ LAC,NFL,Pass TDs,1.5,1.34,-10.86%
Dejounte Murray,@ BOS,NBA,Blks+Stls,1.5,1.66,10.84%
Desmond Bane,vs MIN,NBA,Pts+Rebs+Asts,33.5,37.12,10.82%
Scottie Barnes,@ CLE,NBA,Points,16.5,14.72,-10.82%
DeMar DeRozan,@ BKN,NBA,Pts+Rebs,25.5,28.25,10.80%
Scottie Barnes,@ CLE,NBA,Pts+Rebs,24.5,21.86,-10.78%
Jaren Jackson Jr.,vs MIN,NBA1Q,Points,5,5.54,10.78%
Dylan DeMelo,@ NSH,NHL,Hits,1.5,1.66,10.75%
Dejounte Murray,@ BOS,NBA1H,Points,10,8.93,-10.67%
Dennis Schroder,@ CLE,NBA,Pts+Rebs+Asts,23.5,21.01,-10.61%
Scottie Barnes,@ CLE,NBA,Pts+Rebs+Asts,29.5,26.38,-10.59%
Mike Conley,@ MEM,NBA,Points,10.5,11.61,10.58%
Devin Booker,@ NYK,NBA1H,Pts+Rebs+Asts,19.5,17.45,-10.52%
Devin Booker,@ NYK,NBA,Pts+Rebs+Asts,39,34.90,-10.52%
Connor McDavid,vs ANH,NHL,Shots on Goal,4,3.58,-10.51%
Anthony Edwards,@ MEM,NBA,Rebs+Asts,10.5,9.40,-10.50%
Cameron Johnson,vs CHI,NBA1H,Points,8.5,9.39,10.48%
Jakob Poeltl,@ CLE,NBA,Rebounds,9,9.94,10.48%
Gustav Nyquist,vs WPG,NHL,Points,0.5,0.55,10.39%
Dennis Schroder,@ CLE,NBA,Pts+Rebs,18,16.13,-10.39%
Goga Bitadze,vs CHA,NBA1H,Pts+Rebs+Asts,9.5,10.49,10.38%
Nikola Jokic,vs SAS,NBA1H,Pts+Rebs+Asts,28,25.10,-10.37%
Onyeka Okongwu,@ BOS,NBA,Pts+Rebs+Asts,16.5,18.20,10.32%
Goga Bitadze,vs CHA,NBA,Fantasy Score,26,28.68,10.32%
Goga Bitadze,vs CHA,NBA1H,Fantasy Score,13,14.34,10.32%
Jakob Poeltl,@ CLE,NBA,Rebs+Asts,11.5,12.69,10.31%
Scottie Barnes,@ CLE,NBA,Rebs+Asts,13,11.66,-10.30%
Amari Cooper,@ DEN,NFL2H,Fantasy Score,5.5,6.06,10.26%
Jerry Jeudy,vs CLE,NFL2H,Receiving Yards,19.5,17.50,-10.26%
Russell Wilson,vs CLE,NFL2H,Fantasy Score,6,6.62,10.25%
Devin Booker,@ NYK,NBA1H,Fantasy Score,22.5,20.21,-10.20%
Paolo Banchero,vs CHA,NBA,Fantasy Score,39.5,35.48,-10.17%
Devin Booker,@ NYK,NBA,Pts+Rebs,32.5,29.20,-10.16%
Tamin Lipsey,vs Texas A&M,CBB,Pts+Rebs+Asts,23.5,25.88,10.15%
Franz Wagner,vs CHA,NBA,Fantasy Score,34.5,31.00,-10.14%
Coby White,@ BKN,NBA,Rebs+Asts,7.5,6.74,-10.11%
DeMar DeRozan,@ BKN,NBA,Rebs+Asts,9,9.91,10.09%
D.J. Moore,@ MIN,NFL,Targets,7,7.70,10.00%
Alex Iwobi,vs WOL,SOCCER,Tackles,1.5,1.35,-10.00%
Desmond Bane,vs MIN,NBA,Points,23,25.30,9.99%
Derrick White,vs ATL,NBA,Rebs+Asts,9.5,10.45,9.99%
Davante Adams,vs KC,NFL2H,Fantasy Score,7,7.69,9.92%
Evan Mobley,vs TOR,NBA,Rebs+Asts,12.5,13.74,9.91%
Anthony Edwards,@ MEM,NBA,Pts+Rebs,31.5,28.40,-9.85%
Patrick Mahomes,@ LV,NFL2H,Fantasy Score,12.5,11.27,-9.81%
Paolo Banchero,vs CHA,NBA,Pts+Rebs+Asts,34.5,31.12,-9.79%
Keldon Johnson,@ DEN,NBA,Rebs+Asts,9.5,8.57,-9.78%
Cameron Johnson,vs CHI,NBA,Pts+Asts,19.5,21.41,9.77%
Cameron Johnson,vs CHI,NBA,Pts+Rebs,22.5,24.70,9.76%
Wade Taylor IV,@ Iowa State,CBB,Points,19.5,17.60,-9.75%
Dejounte Murray,@ BOS,NBA,Rebs+Asts,10,10.97,9.70%
Reggie Jackson,vs SAS,NBA,Pts+Rebs,15.5,17.00,9.67%
K.J. Osborn,vs CHI,NFL,Receptions,3,3.29,9.67%
Scottie Barnes,@ CLE,NBA,Assists,5,4.52,-9.64%
Keldon Johnson,@ DEN,NBA,Points,17.5,19.19,9.64%
Roschon Johnson,@ MIN,NFL,Rush + Rec Yds,32.5,35.63,9.63%
Keldon Johnson,@ DEN,NBA,Pts+Rebs,22.5,24.66,9.59%
Reggie Jackson,vs SAS,NBA1H,Pts+Rebs+Asts,10,10.96,9.58%
Reggie Jackson,vs SAS,NBA,Points,12.5,13.70,9.57%
Nikola Jokic,vs SAS,NBA,Pts+Rebs+Asts,55.5,50.20,-9.56%
Immanuel Quickley,vs PHX,NBA,Points,14.5,13.12,-9.51%
DeMar DeRozan,@ BKN,NBA1H,Points,10.5,11.49,9.45%
Gus Edwards,@ LAC,NFL,Rush + Rec Yds,56.5,61.83,9.44%
Mikal Bridges,vs CHI,NBA,Rebs+Asts,9.5,8.61,-9.39%
Isiah Pacheco,@ LV,NFL2H,Fantasy Score,7,7.66,9.37%
Zach LaVine,@ BKN,NBA,Free Throws Made,5,4.53,-9.35%
LaMelo Ball,@ ORL,NBA1H,Fantasy Score,23,20.86,-9.32%
LaMelo Ball,@ ORL,NBA,Fantasy Score,46,41.71,-9.32%
Dorian Finney-Smith,vs CHI,NBA1H,Pts+Rebs+Asts,8.5,9.29,9.29%
Cameron Johnson,vs CHI,NBA1H,Pts+Rebs+Asts,12.5,13.66,9.28%
Trae Young,@ BOS,NBA1Q,Points,5.5,6.01,9.28%
Reggie Jackson,vs SAS,NBA,Assists,4.5,4.92,9.27%
Zach Collins,@ DEN,NBA,Pts+Asts,15.5,16.93,9.25%
Mikal Bridges,vs CHI,NBA,Rebounds,5.5,4.99,-9.23%
Dawson Garcia,@ San Francisco,CBB,Points,16.5,18.02,9.22%
Victor Wembanyama,@ DEN,NBA,Rebounds,9,9.83,9.21%
Rodolfo Cota,vs SAN,SOCCER,Goalie Saves,2.5,2.73,9.20%
Devin Booker,@ NYK,NBA,Fantasy Score,44.5,40.41,-9.19%
Aaron Gordon,vs SAS,NBA,Assists,4,3.63,-9.14%
RJ Barrett,vs PHX,NBA,Points,18.5,16.81,-9.14%
Donte DiVincenzo,vs PHX,NBA,Points,6.5,7.09,9.13%
Jeremy Sochan,@ DEN,NBA,Rebounds,5.5,6.00,9.10%
Keshon Gilbert,vs Texas A&M,CBB,Points,12.5,11.36,-9.10%
Lamar Jackson,@ LAC,NFL,Pass Yards,234.5,213.36,-9.01%
Nikola Vucevic,@ BKN,NBA1Q,Points,4.5,4.10,-8.91%
Austin Ekeler,vs BAL,NFL,Rush + Rec Yds,84.5,77.00,-8.88%
Franz Wagner,vs CHA,NBA1H,Fantasy Score,17,15.50,-8.82%
Cole Kmet,@ MIN,NFL,Receptions,4,3.65,-8.76%
Jusuf Nurkic,@ NYK,NBA,Pts+Rebs+Asts,23,25.01,8.75%
De'Andre Hunter,@ BOS,NBA,Pts+Rebs+Asts,19.5,21.20,8.70%
Miles Bridges,@ ORL,NBA,Rebs+Asts,9.5,10.32,8.68%
Jusuf Nurkic,@ NYK,NBA,Pts+Asts,13.5,14.67,8.67%
Paolo Banchero,vs CHA,NBA,Free Throws Made,4.5,4.89,8.62%
Evan Mobley,vs TOR,NBA,Pts+Rebs,24.5,26.61,8.60%
Julius Randle,vs PHX,NBA1H,Points,10.5,11.40,8.56%
Jalen Brunson,vs PHX,NBA1H,Points,12.5,11.43,-8.56%
Justin Herbert,vs BAL,NFL1H,Fantasy Score,8.5,9.23,8.54%
Jaylen Brown,vs ATL,NBA,Pts+Rebs,30.5,33.10,8.52%
Courtland Sutton,vs CLE,NFL2H,Fantasy Score,4.5,4.88,8.52%
Wade Taylor IV,@ Iowa State,CBB,Pts+Rebs+Asts,26.5,24.25,-8.50%
Paolo Banchero,vs CHA,NBA1H,Pts+Rebs+Asts,17,15.56,-8.46%
Nikola Vucevic,@ BKN,NBA,Rebs+Asts,13.5,14.64,8.45%
Justin Watson,@ LV,NFL2H,Receiving Yards,15.5,14.19,-8.45%
Jaylen Brown,vs ATL,NBA1Q,Points,7,6.41,-8.41%
Zach LaVine,@ BKN,NBA,Pts+Asts,25.5,27.64,8.40%
Desmond Bane,vs MIN,NBA,Pts+Asts,28.5,30.89,8.39%
Dejounte Murray,@ BOS,NBA,Points,19.5,17.87,-8.38%
Nikolaj Ehlers,@ NSH,NHL,Shots on Goal,3,2.75,-8.32%
Bogdan Bogdanovic,@ BOS,NBA,Pts+Asts,16.5,15.13,-8.31%
Odell Beckham Jr,@ LAC,NFL,Fantasy Score,8.5,9.20,8.26%
Justin Tucker,@ LAC,NFL1H,Fantasy Score,4.5,4.87,8.25%
Julius Randle,vs PHX,NBA,Rebounds,9,9.74,8.24%
Al Horford,vs ATL,NBA,Rebounds,7,7.58,8.22%
De'Andre Hunter,@ BOS,NBA,3-PT Made,1.5,1.38,-8.17%
Jeremy Sochan,@ DEN,NBA,Rebs+Asts,9.5,8.73,-8.10%
Tyler Higbee,@ ARI,NFL2H,Receiving Yards,10.5,11.35,8.09%
Keaton Mitchell,@ LAC,NFL,Rush Attempts,7.5,8.10,8.00%
Devin Booker,@ NYK,NBA1Q,Points,6.5,5.99,-7.90%
Alex Iafallo,@ NSH,NHL,Shots on Goal,2,2.16,7.88%
DeMar DeRozan,@ BKN,NBA,Pts+Rebs+Asts,30.5,32.89,7.85%
Mark Scheifele,@ NSH,NHL,Shots on Goal,2.5,2.31,-7.75%
Tim Melia,@ HOU,SOCCER,Goalie Saves,3,3.23,7.67%
Lamar Jackson,@ LAC,NFL1H,Pass Yards,115.5,106.68,-7.64%
Zach LaVine,@ BKN,NBA,Fantasy Score,34,36.59,7.61%
Zach LaVine,@ BKN,NBA1H,Fantasy Score,17,18.29,7.61%
Pascal Siakam,@ CLE,NBA1H,Points,10.5,9.70,-7.59%
Zach LaVine,@ BKN,NBA,Pts+Rebs,26.5,28.49,7.51%
Bogdan Bogdanovic,@ BOS,NBA,Pts+Rebs,17.5,16.19,-7.49%
Franz Wagner,vs CHA,NBA,Free Throws Made,3.5,3.24,-7.40%
Donovan Mitchell,vs TOR,NBA,Turnovers,2.5,2.69,7.40%
Jeremy Sochan,@ DEN,NBA,Pts+Rebs,15.5,16.64,7.33%
Cameron Johnson,vs CHI,NBA,Points,17.5,18.78,7.33%
Wade Taylor IV,@ Iowa State,CBB,Assists,4,3.71,-7.28%
Greg Joseph,vs CHI,NFL,FG Made,1.5,1.61,7.28%
De'Andre Hunter,@ BOS,NBA,Points,13.5,14.48,7.26%
DeMar DeRozan,@ BKN,NBA,Assists,5,4.64,-7.22%
Al Horford,vs ATL,NBA,Assists,3.5,3.25,-7.18%
Cameron Johnson,vs CHI,NBA,Pts+Rebs+Asts,25.5,27.32,7.14%
Dorian Thompson-Robinson,@ DEN,NFL2H,Pass Yards,96.5,89.61,-7.14%
RJ Barrett,vs PHX,NBA1H,Fantasy Score,14,13.00,-7.12%
Justin Fields,@ MIN,NFL,Touchdowns,1.5,1.61,7.09%
Zach LaVine,@ BKN,NBA1Q,Points,5.5,5.89,7.09%
Onyeka Okongwu,@ BOS,NBA1H,Pts+Rebs+Asts,8.5,9.10,7.08%
D'Andre Swift,vs BUF,NFL2H,Rush Yards,30.5,32.65,7.05%
DeMar DeRozan,@ BKN,NBA,Points,21.5,22.99,6.91%
Reggie Jackson,vs SAS,NBA,Pts+Rebs+Asts,20.5,21.92,6.90%
Khalil Herbert,@ MIN,NFL,Rush Attempts,14.5,15.50,6.90%
Justin Herbert,vs BAL,NFL,Pass Attempts,36.5,34.00,-6.85%
Spencer Dinwiddie,vs CHI,NBA,Rebounds,4,4.27,6.83%
Jaylen Brown,vs ATL,NBA,Pts+Rebs+Asts,34.5,36.85,6.82%
Franz Wagner,vs CHA,NBA,Points,20.5,19.10,-6.82%
Victor Wembanyama,@ DEN,NBA1H,Points,10,9.32,-6.82%
Zach LaVine,@ BKN,NBA,Pts+Rebs+Asts,30.5,32.57,6.80%
RJ Barrett,vs PHX,NBA,Pts+Asts,20.5,19.11,-6.79%
Aaron Gordon,vs SAS,NBA,Rebs+Asts,11.5,12.28,6.78%
Jalen Suggs,vs CHA,NBA,Points,12.5,11.65,-6.78%
Julius Randle,vs PHX,NBA,Pts+Rebs,30.5,32.54,6.69%
Jalen Brunson,vs PHX,NBA,Points,24.5,22.86,-6.69%
Lamar Jackson,@ LAC,NFL,Pass Completions,19.5,18.20,-6.68%
T.J. Hockenson,vs CHI,NFL1H,Receiving Yards,31.5,33.60,6.67%
De'Andre Hunter,@ BOS,NBA,Pts+Rebs,18.5,19.73,6.64%
Paolo Banchero,vs CHA,NBA1H,Fantasy Score,19,17.74,-6.63%
Mike Conley,@ MEM,NBA,Pts+Rebs,13.5,14.39,6.58%
Jalen Hurts,vs BUF,NFL2H,Pass Yards,117.5,109.78,-6.57%
Mitchell Robinson,vs PHX,NBA,Blks+Stls,2.5,2.66,6.53%
Jusuf Nurkic,@ NYK,NBA1H,Points,5.5,5.86,6.49%
Jusuf Nurkic,@ NYK,NBA,Rebs+Asts,12.5,13.30,6.40%
Rudy Gobert,@ MEM,NBA1H,Points,6.5,6.92,6.39%
Miles Bridges,@ ORL,NBA,Pts+Rebs,25.5,23.87,-6.38%
Jeremy Sochan,@ DEN,NBA,Points,10,10.64,6.36%
Jeremy Sochan,@ DEN,NBA1H,Points,5,5.32,6.36%
Reggie Jackson,vs SAS,NBA,Pts+Asts,17.5,18.61,6.36%
Justin Fields,@ MIN,NFL,Pass Completions,17.5,16.39,-6.32%
Jusuf Nurkic,@ NYK,NBA,Fantasy Score,29.5,31.36,6.32%
Dawson Garcia,@ San Francisco,CBB,Pts+Rebs+Asts,26.5,28.17,6.31%
Jalen Suggs,vs CHA,NBA,Pts+Rebs,16.5,15.46,-6.28%
Keshon Gilbert,vs Texas A&M,CBB,Pts+Rebs+Asts,19.5,18.28,-6.27%
Jakob Poeltl,@ CLE,NBA1H,Pts+Rebs+Asts,11.5,12.22,6.26%
Matthew Stafford,@ ARI,NFL2H,Fantasy Score,7,7.44,6.25%
Paolo Banchero,vs CHA,NBA,Pts+Rebs,29.5,27.67,-6.20%
Miles Bridges,@ ORL,NBA,Points,18,16.89,-6.18%
Miles Bridges,@ ORL,NBA1H,Points,9,8.44,-6.18%
Miles Bridges,@ ORL,NBA1Q,Points,4.5,4.22,-6.18%
Joshua Dobbs,vs CHI,NFL,Rush Attempts,6.5,6.90,6.15%
OG Anunoby,@ CLE,NBA,Pts+Asts,16.5,17.51,6.14%
Santi Aldama,vs MIN,NBA1Q,Points,4,3.75,-6.14%
Ty Chandler,vs CHI,NFL,Rush Yards,32.5,30.51,-6.12%
DeMar DeRozan,@ BKN,NBA1H,Pts+Rebs+Asts,15.5,16.45,6.11%
Dejounte Murray,@ BOS,NBA,Pts+Asts,24.5,23.01,-6.10%
Bogdan Bogdanovic,@ BOS,NBA1H,Pts+Rebs+Asts,10,9.40,-6.04%
Travis Kelce,@ LV,NFL2H,Fantasy Score,8,8.48,6.00%
De'Andre Hunter,@ BOS,NBA1H,Pts+Rebs+Asts,10,10.60,5.98%
Isiah Pacheco,@ LV,NFL2H,Rush Yards,33.5,31.51,-5.96%
Braeden Carrington,@ San Francisco,CBB,Points,7,6.59,-5.91%
Keenan Allen,vs BAL,NFL,Fantasy Score,18.5,17.41,-5.89%
Clint Capela,@ BOS,NBA,Pts+Rebs,21.5,22.76,5.85%
Miles Bridges,@ ORL,NBA,Blks+Stls,1.5,1.41,-5.83%
T.J. Hockenson,vs CHI,NFL,Receiving Yards,63.5,67.20,5.83%
Saddiq Bey,@ BOS,NBA,Rebounds,6,6.35,5.80%
Joshua Dobbs,vs CHI,NFL,Pass + Rush Yds,273.5,257.72,-5.77%
Paolo Banchero,vs CHA,NBA,Rebs+Asts,12,11.32,-5.69%
Gerald Everett,vs BAL,NFL,Fantasy Score,6.5,6.87,5.67%
Justin Fields,@ MIN,NFL,Pass Attempts,26.5,28.00,5.66%
Rudy Gobert,@ MEM,NBA,Rebounds,11.5,12.15,5.65%
Austin Ekeler,vs BAL,NFL,Rush Attempts,12.5,13.20,5.60%
Jalen Suggs,vs CHA,NBA,3-PT Made,1.5,1.42,-5.57%
Franz Wagner,vs CHA,NBA,Pts+Rebs,25.5,24.08,-5.57%
Kentavious Caldwell-Pope,vs SAS,NBA1H,Points,7,6.61,-5.56%
Mike Conley,@ MEM,NBA1H,Points,5.5,5.81,5.56%
James Conner,vs LAR,NFL2H,Fantasy Score,6,6.33,5.56%
Franz Wagner,vs CHA,NBA1H,Pts+Rebs+Asts,14.5,13.70,-5.50%
LaMelo Ball,@ ORL,NBA,Rebs+Asts,13.5,14.24,5.48%
Mike Conley,@ MEM,NBA,Assists,6,5.67,-5.46%
Nikola Jokic,vs SAS,NBA,Rebounds,13.5,14.23,5.44%
DeMar DeRozan,@ BKN,NBA1H,Fantasy Score,18.5,19.49,5.35%
Reggie Jackson,vs SAS,NBA1H,Points,6.5,6.85,5.35%
Clint Capela,@ BOS,NBA,Pts+Rebs+Asts,22.5,23.70,5.34%
Clint Capela,@ BOS,NBA,Points,10.5,11.06,5.34%
Pascal Siakam,@ CLE,NBA,Points,20.5,19.41,-5.34%
Evan Mobley,vs TOR,NBA1H,Points,7.5,7.90,5.33%
Dennis Schroder,@ CLE,NBA,3-PT Made,1.5,1.42,-5.33%
Jayson Tatum,vs ATL,NBA,Rebounds,9.5,10.01,5.32%
Jaylen Brown,vs ATL,NBA1H,Pts+Rebs+Asts,17.5,18.43,5.30%
Donovan Mitchell,vs TOR,NBA,Pts+Asts,30.5,28.88,-5.30%
Isaiah Likely,@ LAC,NFL,Fantasy Score,7.5,7.11,-5.27%
Karl-Anthony Towns,@ MEM,NBA,Rebs+Asts,12.5,13.15,5.23%
Pascal Siakam,@ CLE,NBA,Pts+Asts,25.5,24.17,-5.22%
Julius Randle,vs PHX,NBA,Rebs+Asts,14,13.27,-5.20%
Al Horford,vs ATL,NBA,Points,9.5,9.99,5.17%
Marquise Brown,vs LAR,NFL2H,Receiving Yards,30.5,28.93,-5.16%
Scottie Barnes,@ CLE,NBA1Q,Points,3.5,3.68,5.11%
Zach LaVine,@ BKN,NBA1H,Pts+Rebs+Asts,15.5,16.29,5.07%
RJ Barrett,vs PHX,NBA1Q,Points,4,4.20,5.06%
Zay Flowers,@ LAC,NFL,Fantasy Score,13,12.35,-5.02%
Zay Flowers,@ LAC,NFL1H,Fantasy Score,6.5,6.17,-5.02%
Franz Wagner,vs CHA,NBA,Assists,3.5,3.33,-4.99%
Connor McDavid,vs ANH,NHL,Points,1.5,1.57,4.97%
Derrick White,vs ATL,NBA,Pts+Rebs+Asts,24.5,25.72,4.97%
Odell Beckham Jr,@ LAC,NFL1H,Receiving Yards,20.5,19.50,-4.88%
Dawson Garcia,@ San Francisco,CBB,Rebounds,7.5,7.86,4.86%
James Cook,@ PHI,NFL2H,Fantasy Score,5.5,5.76,4.80%
Justin Fields,@ MIN,NFL,Pass + Rush Yds,255.5,243.27,-4.78%
Scottie Barnes,@ CLE,NBA,Rebounds,7.5,7.14,-4.75%
Jalen Brunson,vs PHX,NBA1Q,Points,6,5.72,-4.75%
Zach LaVine,@ BKN,NBA,Points,22.5,23.56,4.71%
Pascal Siakam,@ CLE,NBA,Assists,5,4.76,-4.71%
Jalen Suggs,vs CHA,NBA,Rebounds,4,3.81,-4.70%
Michael Porter Jr.,vs SAS,NBA,Points,18.5,19.37,4.68%
Dennis Schroder,@ CLE,NBA,Rebs+Asts,7.5,7.85,4.66%
Jayson Tatum,vs ATL,NBA1Q,Points,7,7.33,4.66%
Roschon Johnson,@ MIN,NFL,Rush Yards,22.5,23.54,4.62%
Greg Dortch,vs LAR,NFL2H,Receiving Yards,15.5,16.22,4.61%
Josh Jacobs,vs KC,NFL2H,Receiving Yards,8.5,8.11,-4.59%
Michael Porter Jr.,vs SAS,NBA,Pts+Rebs,27.5,26.24,-4.57%
Franz Wagner,vs CHA,NBA,Pts+Asts,23.5,22.43,-4.57%
Santi Aldama,vs MIN,NBA,Pts+Rebs+Asts,24.5,25.62,4.56%
Jusuf Nurkic,@ NYK,NBA1H,Fantasy Score,15,15.68,4.54%
Jeremy Sochan,@ DEN,NBA,Pts+Asts,14,13.37,-4.53%
Franz Wagner,vs CHA,NBA1H,Points,10,9.55,-4.49%
Mike Conley,@ MEM,NBA1H,Pts+Rebs+Asts,10.5,10.03,-4.47%
Jerry Jeudy,vs CLE,NFL2H,Fantasy Score,4.5,4.30,-4.47%
Pascal Siakam,@ CLE,NBA1H,Pts+Rebs+Asts,16.5,15.77,-4.44%
Victor Wembanyama,@ DEN,NBA,Points,19.5,18.64,-4.44%
Mark Williams,@ ORL,NBA1Q,Points,3.5,3.35,-4.43%
Michael Porter Jr.,vs SAS,NBA1H,Pts+Rebs+Asts,14.5,13.87,-4.34%
Isiah Pacheco,@ LV,NFL2H,Receiving Yards,10.5,10.96,4.33%
DeMar DeRozan,@ BKN,NBA,Free Throws Made,5.5,5.74,4.30%
Zay Flowers,@ LAC,NFL,Targets,7,6.70,-4.29%
RJ Barrett,vs PHX,NBA,Pts+Rebs+Asts,25,23.93,-4.27%
DeMar DeRozan,@ BKN,NBA,Pts+Asts,26.5,27.62,4.24%
