Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Anthony Edwards,vs NYK,NBA,Rebounds,5,5.38,7.62%
Immanuel Quickley,@ MIN,NBA,Pts+Asts,14.5,15.59,7.53%
Domantas Sabonis,@ NOP,NBA,Assists,7,6.47,-7.51%
Julius Randle,@ MIN,NBA,Pts+Rebs+Asts,33.5,35.99,7.45%
RJ Barrett,@ MIN,NBA,Points,17.5,16.20,-7.42%
Kyle Anderson,vs NYK,NBA,Pts+Rebs,11.5,12.34,7.27%
Duncan Robinson,@ CHI,NBA,3-PT Made,3.5,3.25,-7.22%
James Harden,@ SAS,NBA,Fantasy Score,36.5,39.11,7.15%
Bam Adebayo,@ CHI,NBA,Turnovers,2.5,2.68,7.10%
Nikola Vucevic,vs MIA,NBA,Fantasy Score,34,36.40,7.07%
Bam Adebayo,@ CHI,NBA,Pts+Asts,25.5,23.70,-7.05%
DeMar DeRozan,vs MIA,NBA,Fantasy Score,36,38.54,7.05%
Bam Adebayo,@ CHI,NBA,Pts+Rebs+Asts,36.5,33.93,-7.04%
Jabari Smith Jr.,@ GSW,NBA,Pts+Rebs+Asts,21.5,23.01,7.03%
Keldon Johnson,vs LAC,NBA,Pts+Rebs+Asts,26.5,28.36,7.01%
Zion Williamson,vs SAC,NBA,Pts+Rebs,32.5,30.23,-6.99%
Andrew Wiggins,vs HOU,NBA,Points,13.5,12.57,-6.92%
Julius Randle,@ MIN,NBA,Fantasy Score,37.5,40.09,6.92%
Bam Adebayo,@ CHI,NBA,Rebs+Asts,14.5,13.51,-6.85%
RJ Barrett,@ MIN,NBA,Pts+Rebs,22.5,20.97,-6.81%
Mike Conley,vs NYK,NBA,Rebs+Asts,8,8.54,6.73%
Kawhi Leonard,@ SAS,NBA,Free Throws Made,3.5,3.73,6.68%
Nikola Vucevic,vs MIA,NBA,Free Throws Made,1.5,1.60,6.65%
DeMar DeRozan,vs MIA,NBA,Pts+Rebs+Asts,30.5,32.52,6.61%
Keldon Johnson,vs LAC,NBA,Pts+Asts,21.5,22.91,6.58%
James Harden,@ SAS,NBA,Points,17,18.11,6.53%
Zach Collins,vs LAC,NBA,Blks+Stls,1.5,1.60,6.51%
Jae'Sean Tate,@ GSW,NBA,Pts+Rebs,11.5,12.25,6.51%
Kawhi Leonard,@ SAS,NBA,Pts+Rebs+Asts,32.5,34.56,6.35%
Anthony Edwards,vs NYK,NBA,Pts+Rebs,29.5,27.63,-6.33%
Stephen Curry,vs HOU,NBA,Fantasy Score,41,43.54,6.20%
Alex Caruso,vs MIA,NBA,Points,7.5,7.04,-6.16%
Fred VanVleet,@ GSW,NBA,Pts+Rebs+Asts,30.5,32.37,6.13%
Zach LaVine,vs MIA,NBA,Rebs+Asts,8.5,9.02,6.13%
Nikola Vucevic,vs MIA,NBA,Points,15,15.92,6.12%
Ivica Zubac,@ SAS,NBA,Pts+Rebs+Asts,20.5,21.75,6.11%
Nikola Vucevic,vs MIA,NBA,Pts+Rebs,25.5,27.03,6.00%
Rudy Gobert,vs NYK,NBA,Rebs+Asts,12.5,13.25,5.99%
Chris Paul,vs HOU,NBA,Points,12,12.72,5.99%
Kawhi Leonard,@ SAS,NBA,Pts+Rebs,29.5,31.25,5.92%
Anthony Edwards,vs NYK,NBA,Fantasy Score,40,37.64,-5.89%
Nikola Vucevic,vs MIA,NBA,Rebounds,10.5,11.11,5.82%
Kawhi Leonard,@ SAS,NBA,Fantasy Score,40,42.33,5.82%
Jimmy Butler,@ CHI,NBA,Rebounds,6,6.35,5.82%
Bam Adebayo,@ CHI,NBA,Pts+Rebs,32.5,30.65,-5.69%
RJ Barrett,@ MIN,NBA,Pts+Rebs+Asts,24.5,23.15,-5.50%
Duncan Robinson,@ CHI,NBA,Fantasy Score,24.5,23.15,-5.49%
Zach LaVine,vs MIA,NBA,Free Throws Made,4.5,4.25,-5.47%
Nikola Vucevic,vs MIA,NBA,Pts+Rebs+Asts,28.5,30.03,5.38%
Kyle Lowry,@ CHI,NBA,Rebs+Asts,8.5,8.95,5.29%
Duncan Robinson,@ CHI,NBA,Points,15,14.22,-5.17%
DeMar DeRozan,vs MIA,NBA,Blks+Stls,1.5,1.58,5.09%
